ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
32261	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	X	C	D	C	A	D	D	A	C	D	B
32304	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	D	A	D	D	C	C	B	B
32971	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	A	C	D	C	A	D	C	C	C	C	B
32945	1	C	B	A	B	D	B	D	B	D	C	A	X	D	B	C	C	D	C	A	X	C	X	C	B	B
33381	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	X	D	C	B	X
32954	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	D	D	A	X	D	C	X	D	B
32278	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33177	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	C	D	C	A	D	D	X	X	B	A
33206	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	D	C	A	D	B	D	C	B	B
32497	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	D	C	A	D	D	X	X	B	X
33019	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	D	A	D	D	D	C	B	A
32859	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32861	1	C	B	A	B	D	B	D	B	D	C	A	B	X	A	A	C	D	C	A	D	B	D	X	B	B
33058	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B
33049	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33252	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	D	C	B	B
33527	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	C	X	D	C	A	C	D	X	X	B	A
33414	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	A	D	A	C	B	A
33810	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	D	D	C	C	B	B
32479	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	B	C	B	B
32465	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	C	C	A	D	C	D	C	B	B
32666	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	C	C	A	X	A	D	C	B	B
32729	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	C	C	A	C	D	B	C	B	B
32760	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	A	D	C	A	D	C	D	C	B	A
32213	1	C	B	A	B	D	D	D	B	D	C	A	B	C	B	A	C	B	C	A	D	B	C	A	B	D
33301	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	B	C	X	B	B
32338	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	X	B	B
32436	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	A	C	D	C	A	D	D	A	B	B	B
33156	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32548	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32568	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	D	D	C	C	B	B
33242	1	C	B	A	A	D	B	D	B	B	C	A	B	A	B	A	D	D	C	A	D	B	C	C	B	B
