ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
q1370159	1	1	20	5	0	15	9	1	0	9	11	4	0	10
q1379643	1	1	22	0	3	18	10	0	0	10	12	0	3	12
q1414665	1	1	24	0	1	19	10	0	0	10	14	0	1	14
q1382206	1	1	18	4	3	13	8	2	0	7	10	2	3	9
q1381703	1	0	13	8	4	8	8	1	1	8	5	7	3	3
q1230953	1	1	21	4	0	16	9	1	0	9	12	3	0	11
q1414086	1	1	22	2	1	17	10	0	0	10	12	2	1	11
q1426571	1	1	21	4	0	16	10	0	0	10	11	4	0	10
q1427325	1	1	20	4	1	15	8	2	0	7	12	2	1	11
q1326113	1	1	17	8	0	11	10	0	0	10	7	8	0	4
q1332540	1	1	21	2	2	16	10	0	0	10	11	2	2	10
J978772	1	0	12	8	5	7	8	2	0	7	4	6	5	2
q1377368	1	0	12	13	0	6	7	3	0	6	5	10	0	2
q1231332	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1330311	1	1	22	2	1	17	8	2	0	7	14	0	1	14
q1307903	1	1	22	2	1	17	10	0	0	10	12	2	1	11
q1462372	1	1	18	7	0	13	8	2	0	7	10	5	0	8
q1408491	1	1	17	2	6	13	8	1	1	8	9	1	5	9
q1413327	1	1	19	2	4	15	9	0	1	9	10	2	3	9
q1368828	1	1	15	5	5	11	10	0	0	10	5	5	5	3
q1446122	1	1	16	4	5	12	10	0	0	10	6	4	5	5
q1385954	1	1	18	7	0	13	9	1	0	9	9	6	0	7
q1310596	1	1	18	7	0	13	10	0	0	10	8	7	0	6
q1421894	1	1	22	2	1	17	9	0	1	9	13	2	0	12
q1345541	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1378090	1	1	20	3	2	15	10	0	0	10	10	3	2	9
q1375105	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1344034	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1396310	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1400281	1	1	17	5	3	12	7	2	1	6	10	3	2	9
q1361270	1	1	17	3	5	13	8	1	1	8	9	2	4	8
J978759	1	1	17	5	3	12	7	2	1	6	10	3	2	9
q1387459	1	1	19	2	4	15	10	0	0	10	9	2	4	8
q1366488	1	1	24	1	0	19	9	1	0	9	15	0	0	15
q1378075	1	1	23	0	2	18	10	0	0	10	13	0	2	13
q1381559	1	1	14	2	9	11	10	0	0	10	4	2	9	3
q1386254	1	1	20	2	3	15	9	1	0	9	11	1	3	11
q1379573	1	1	16	2	7	12	10	0	0	10	6	2	7	5
J978756	1	1	18	1	6	14	10	0	0	10	8	1	6	8
q1413720	1	0	13	6	6	9	9	1	0	9	4	5	6	2
q1310223	1	0	12	10	3	7	7	2	1	6	5	8	2	2
