ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
34540	1	0	6	16	0	1	6	16	0	1
34221	1	0	6	5	11	4	6	5	11	4
34005	1	1	19	3	0	16	19	3	0	16
34661	1	1	15	5	2	12	15	5	2	12
34339	1	1	18	2	2	16	18	2	2	16
34791	1	1	12	3	7	10	12	3	7	10
34286	1	0	8	14	0	3	8	14	0	3
34217	1	1	16	6	0	13	16	6	0	13
34812	1	0	13	9	0	9	13	9	0	9
34150	1	1	20	2	0	18	20	2	0	18
34837	1	0	6	16	0	1	6	16	0	1
34338	1	1	19	2	1	17	19	2	1	17
34305	1	0	10	12	0	5	10	12	0	5
34833	1	0	10	8	4	7	10	8	4	7
34847	1	0	8	14	0	3	8	14	0	3
34055	1	1	19	2	1	17	19	2	1	17
