ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore
34250	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34020	1	1	13	5	4	10	11	4	1	10	2	1	3	2
34048	1	1	18	4	0	15	13	3	0	12	5	1	0	5
33988	1	1	18	1	3	16	14	0	2	14	4	1	1	4
34184	1	0	11	5	6	8	9	3	4	8	2	2	2	1
34703	1	1	20	1	1	18	15	1	0	15	5	0	1	5
34390	1	1	15	7	0	12	13	3	0	12	2	4	0	1
34353	1	1	21	0	1	19	15	0	1	15	6	0	0	6
33969	1	1	20	0	2	18	15	0	1	15	5	0	1	5
33982	1	1	17	5	0	14	13	3	0	12	4	2	0	3
34244	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34402	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34425	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34632	1	1	18	4	0	15	14	2	0	13	4	2	0	3
34644	1	1	15	5	2	12	12	3	1	11	3	2	1	2
34551	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34142	1	1	13	5	4	10	10	3	3	9	3	2	1	2
34090	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34355	1	1	16	5	1	13	13	2	1	12	3	3	0	2
34817	1	1	14	2	6	12	12	1	3	12	2	1	3	2
34345	1	1	16	4	2	13	13	2	1	12	3	2	1	2
34177	1	1	18	1	3	16	16	0	0	16	2	1	3	2
34287	1	0	11	8	3	8	11	3	2	10	0	5	1	0
34516	1	1	12	4	6	10	11	3	2	10	1	1	4	1
34849	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34657	1	1	16	4	2	13	13	3	0	12	3	1	2	3
34240	1	1	14	3	5	12	12	1	3	12	2	2	2	1
34465	1	1	18	2	2	16	14	0	2	14	4	2	0	3
34101	1	1	14	1	7	12	13	0	3	13	1	1	4	1
34089	1	1	18	3	1	15	13	2	1	12	5	1	0	5
34588	1	1	18	4	0	15	15	1	0	15	3	3	0	2
34755	1	1	15	1	6	13	11	1	4	11	4	0	2	4
34149	1	1	21	0	1	19	15	0	1	15	6	0	0	6
34254	1	1	14	4	4	12	11	2	3	10	3	2	1	2
34456	1	1	16	4	2	13	12	2	2	11	4	2	0	3
33986	1	1	15	2	5	13	12	2	2	11	3	0	3	3
34374	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34040	1	1	16	6	0	13	11	5	0	9	5	1	0	5
34666	1	1	20	1	1	18	16	0	0	16	4	1	1	4
