ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
31477	1	1	13	3	6	11	13	3	6	11
31567	1	0	11	6	5	8	11	6	5	8
31381	1	1	15	4	3	12	15	4	3	12
31396	1	1	14	1	7	12	14	1	7	12
31552	1	0	10	5	7	8	10	5	7	8
31332	1	0	10	7	5	7	10	7	5	7
31536	1	1	16	0	6	15	16	0	6	15
31345	1	1	18	3	1	15	18	3	1	15
31425	1	1	12	3	7	10	12	3	7	10
31357	1	1	18	3	1	15	18	3	1	15
31454	1	1	12	4	6	10	12	4	6	10
31495	1	1	19	2	1	17	19	2	1	17
31441	1	0	12	5	5	9	12	5	5	9
31490	1	0	4	11	7	0	4	11	7	0
31457	1	1	18	2	2	16	18	2	2	16
31549	1	1	13	2	7	11	13	2	7	11
31401	1	0	9	6	7	6	9	6	7	6
31344	1	0	12	6	4	9	12	6	4	9
31582	1	1	17	1	4	15	17	1	4	15
31455	1	1	14	4	4	12	14	4	4	12
31366	1	1	21	1	0	19	21	1	0	19
31337	1	1	19	2	1	17	19	2	1	17
31368	1	1	17	3	2	15	17	3	2	15
31500	1	1	15	6	1	12	15	6	1	12
31631	1	0	7	10	5	3	7	10	5	3
31520	1	1	20	2	0	18	20	2	0	18
31539	1	0	12	7	3	9	12	7	3	9
31496	1	1	19	2	1	17	19	2	1	17
31380	1	0	12	5	5	9	12	5	5	9
31333	1	0	11	6	5	8	11	6	5	8
31493	1	0	2	5	15	0	2	5	15	0
31652	1	0	12	6	4	9	12	6	4	9
31388	1	1	21	1	0	19	21	1	0	19
31409	1	1	15	5	2	12	15	5	2	12
31422	1	0	8	11	3	4	8	11	3	4
31365	1	1	15	4	3	12	15	4	3	12
31544	1	0	4	14	4	0	4	14	4	0
31507	1	0	12	10	0	8	12	10	0	8
31515	1	1	17	2	3	15	17	2	3	15
31510	1	0	11	5	6	8	11	5	6	8
31589	1	0	11	4	7	9	11	4	7	9
31517	1	0	11	2	9	9	11	2	9	9
31633	1	1	14	4	4	12	14	4	4	12
31528	1	1	18	1	3	16	18	1	3	16
31555	1	1	14	3	5	12	14	3	5	12
31577	1	1	19	2	1	17	19	2	1	17
31399	1	1	12	2	8	10	12	2	8	10
31578	1	0	11	6	5	8	11	6	5	8
31588	1	0	7	7	8	4	7	7	8	4
31553	1	0	8	4	10	6	8	4	10	6
31374	1	0	12	8	2	8	12	8	2	8
31548	1	1	17	3	2	15	17	3	2	15
31619	1	1	20	0	2	18	20	0	2	18
31384	1	1	13	2	7	11	13	2	7	11
31367	1	1	17	3	2	15	17	3	2	15
31372	1	1	22	0	0	20	22	0	0	20
31617	1	0	7	7	8	4	7	7	8	4
31391	1	1	12	3	7	10	12	3	7	10
31480	1	0	10	3	9	8	10	3	9	8
31545	1	1	16	1	5	14	16	1	5	14
31572	1	1	22	0	0	20	22	0	0	20
31403	1	0	11	6	5	8	11	6	5	8
31551	1	0	12	5	5	9	12	5	5	9
31618	1	1	17	1	4	15	17	1	4	15
31634	1	1	17	1	4	15	17	1	4	15
31395	1	1	15	2	5	13	15	2	5	13
31645	1	1	15	1	6	13	15	1	6	13
31608	1	1	14	2	6	12	14	2	6	12
31433	1	1	16	3	3	14	16	3	3	14
31476	1	1	17	4	1	14	17	4	1	14
31584	1	1	17	1	4	15	17	1	4	15
31352	1	0	12	6	4	9	12	6	4	9
31556	1	1	18	0	4	16	18	0	4	16
31626	1	1	21	1	0	19	21	1	0	19
31592	1	1	16	3	3	14	16	3	3	14
31600	1	1	12	2	8	10	12	2	8	10
31527	1	1	15	3	4	13	15	3	4	13
31543	1	1	18	2	2	16	18	2	2	16
31404	1	1	21	1	0	19	21	1	0	19
31616	1	1	12	3	7	10	12	3	7	10
31649	1	0	12	6	4	9	12	6	4	9
31640	1	1	15	4	3	12	15	4	3	12
31382	1	0	11	5	6	8	11	5	6	8
31613	1	0	8	7	7	5	8	7	7	5
31373	1	0	8	5	9	6	8	5	9	6
31593	1	1	14	3	5	12	14	3	5	12
31579	1	0	10	8	4	7	10	8	4	7
31376	1	1	22	0	0	20	22	0	0	20
31603	1	0	9	8	5	6	9	8	5	6
31624	1	1	15	2	5	13	15	2	5	13
31554	1	1	22	0	0	20	22	0	0	20
31393	1	1	19	1	2	17	19	1	2	17
31585	1	1	15	3	4	13	15	3	4	13
31516	1	0	5	12	5	1	5	12	5	1
31546	1	1	18	4	0	15	18	4	0	15
31630	1	1	16	3	3	14	16	3	3	14
31623	1	1	14	4	4	12	14	4	4	12
31610	1	1	14	0	8	13	14	0	8	13
31663	1	1	20	2	0	18	20	2	0	18
31660	1	1	14	7	1	11	14	7	1	11
31744	1	1	15	2	5	13	15	2	5	13
31731	1	1	17	3	2	15	17	3	2	15
31687	1	0	12	5	5	9	12	5	5	9
31750	1	1	19	1	2	17	19	1	2	17
31738	1	1	14	1	7	12	14	1	7	12
31692	1	0	9	7	6	6	9	7	6	6
31778	1	1	17	1	4	15	17	1	4	15
31679	1	0	7	15	0	2	7	15	0	2
