feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ia38918	1	B	D	A	D	D	B	B	A	B	C	B	C	A	B	B	C	B	C	D	C	D	A
17ia24288	1	D	C	B	B	D	A	C	A	X	D	B	X	X	D	C	X	B	D	D	A	C	A
17ia35517	1	B	A	D	D	C	X	D	B	X	D	C	C	X	D	C	D	X	D	D	A	C	A
17ia39412	1	D	C	A	B	D	D	C	B	X	D	B	A	X	D	D	X	X	X	D	A	D	A
17ia95270	1	D	C	X	A	D	X	C	A	C	D	B	A	C	C	A	D	C	X	D	A	C	A
17ia49353	1	X	C	B	A	X	A	D	D	C	D	C	X	X	C	C	X	X	X	C	B	C	A
17ia15574	1	D	C	B	B	D	X	D	A	C	D	B	A	C	D	C	A	X	D	D	D	C	A
17ia38096	1	D	C	B	B	D	A	D	A	X	D	B	B	X	D	C	C	B	D	D	A	C	A
17ia23733	1	D	C	B	B	D	C	C	A	X	D	C	X	C	D	B	X	X	X	D	D	A	A
17ia83999	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	A	C	A
17ia44679	1	A	C	B	B	D	X	C	A	X	D	B	X	C	D	C	X	A	X	D	A	C	A
17ia97021	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	D	B	X	D	D	A	A	A
17ia11231	1	D	C	B	B	D	C	C	B	X	B	X	X	X	X	X	X	X	X	D	C	C	A
17ia61640	1	D	C	B	B	D	A	B	A	X	D	B	X	X	D	C	X	B	D	D	C	C	A
17ia25396	1	D	C	B	B	D	A	B	A	C	D	B	A	X	D	D	X	B	D	D	A	C	A
17ia94326	1	B	C	C	B	A	X	D	X	X	B	X	X	D	X	B	X	X	X	D	D	C	B
17ia87346	1	D	C	D	B	D	A	C	A	X	D	C	X	X	D	C	X	A	C	D	X	A	A
17ia85358	1	D	C	B	B	D	A	D	A	C	B	B	X	C	D	C	C	B	D	D	A	C	A
17ia84917	1	D	C	X	B	D	X	B	A	X	D	B	X	D	X	X	X	X	D	D	X	C	A
17ia70045	1	D	C	D	B	D	X	X	A	X	D	B	X	X	X	X	X	X	X	D	X	C	A
