ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27452	1	D	C	D	B	A	A	D	D	B	B	E	C	D	A	A	C	X	C	B	X	X	B	A	E	D	B	C	C	E	X	C	A	D	C	B	D	X	C	D	D
25726	1	E	C	D	A	C	A	D	D	C	B	E	C	C	A	A	C	X	C	X	X	C	B	D	E	D	E	C	C	E	B	C	X	D	A	B	C	E	E	C	B
26236	1	D	C	B	B	B	B	D	D	B	C	D	E	E	B	D	C	E	B	E	B	D	D	D	E	B	X	B	E	E	C	B	B	E	B	A	C	B	E	C	E
26371	1	C	C	C	B	B	B	E	D	A	C	E	C	D	A	A	C	X	E	X	C	C	X	A	A	B	E	B	C	E	X	A	A	E	B	B	C	E	D	A	D
27012	1	E	A	B	B	C	B	D	E	C	B	E	C	X	A	A	C	X	C	E	B	C	B	A	E	D	X	B	X	E	E	X	X	E	C	B	X	D	A	C	E
26318	1	D	C	D	B	C	B	D	D	B	C	E	C	A	A	A	C	D	C	B	E	D	C	A	E	A	B	C	D	E	A	B	B	E	D	B	B	D	A	C	B
24162	1	D	E	D	A	B	A	D	D	B	A	E	C	D	D	A	C	D	C	B	X	C	E	A	E	D	E	C	E	X	C	C	A	X	C	B	E	E	X	B	D
26866	1	D	C	D	D	B	B	D	D	X	B	E	C	D	A	A	C	X	C	B	C	C	B	A	E	B	B	C	X	E	A	E	X	D	D	B	C	D	A	D	B
25820	1	E	C	A	C	B	B	D	E	B	B	X	A	E	A	A	X	D	C	X	X	C	E	A	C	D	X	X	X	E	X	E	X	E	B	B	C	B	X	A	A
26070	1	D	C	D	A	B	A	D	E	B	B	E	E	D	A	A	C	D	C	X	B	C	B	A	A	B	X	B	X	E	A	E	D	B	B	B	B	E	A	B	E
25457	1	C	C	A	B	B	B	D	E	B	C	C	X	C	A	A	B	X	C	X	C	C	B	A	D	D	X	A	C	X	C	C	X	D	B	B	E	E	A	E	D
25456	1	C	C	D	B	B	B	X	E	B	B	E	C	X	X	A	C	X	C	X	E	D	B	A	E	C	X	B	X	C	B	E	D	X	X	A	D	E	X	A	E
25455	1	E	D	D	C	C	B	D	D	E	B	C	C	A	A	A	C	X	A	A	X	D	B	A	E	D	X	C	X	E	A	B	D	X	B	C	C	E	B	E	B
26604	1	E	C	D	B	C	A	D	D	B	B	E	C	D	A	A	C	X	C	B	E	D	B	A	E	B	B	B	D	E	X	E	X	E	C	B	X	E	D	A	E
26073	1	D	C	A	D	B	B	D	D	B	B	E	C	E	A	A	C	B	C	X	C	C	B	A	E	B	E	B	X	E	X	B	E	B	B	B	C	E	X	C	D
25394	1	D	C	D	D	B	B	D	D	B	B	D	C	B	D	A	C	X	C	X	C	C	B	C	E	D	X	B	C	E	B	B	D	C	B	B	D	B	D	B	A
24928	1	D	C	D	C	B	B	A	D	D	C	E	E	C	C	A	C	X	B	A	X	C	E	A	E	B	E	B	C	E	A	C	C	E	D	B	D	B	D	C	A
25115	1	A	C	D	D	C	A	D	D	B	B	B	E	D	A	A	D	C	C	X	X	C	B	C	E	B	X	C	C	X	X	D	X	B	X	B	X	B	X	C	A
26888	1	D	C	B	B	X	B	D	D	C	B	E	E	E	A	E	C	X	C	X	E	C	B	A	E	D	E	B	E	E	C	C	C	D	X	B	X	X	E	C	E
26576	1	C	A	D	C	B	B	D	E	E	B	E	C	D	D	A	C	X	D	B	C	X	B	A	E	D	B	X	C	E	X	X	A	D	A	C	E	E	A	D	A
26778	1	D	X	D	C	C	B	D	E	B	B	E	C	A	E	C	C	X	E	E	X	C	B	A	C	B	B	E	B	E	X	E	X	B	E	B	C	D	B	A	A
27034	1	D	C	C	D	C	B	D	D	B	B	E	C	C	D	A	C	X	C	E	X	C	B	A	C	B	E	C	X	E	C	C	X	D	X	B	C	D	E	D	X
25278	1	D	D	B	B	C	E	D	E	E	B	E	E	C	A	A	C	E	C	X	D	C	B	A	E	E	X	B	D	E	C	B	X	X	D	B	C	E	B	E	A
