feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi63109	1	D	C	D	B	C	B	D	D	B	C	E	C	C	A	D	A	X	C	B	E	B	E	C	C	B	C	C	X	C	C	D	B	D	X	A	X	D	A	D	D
13hi53613	1	D	C	C	B	B	B	D	D	B	B	E	A	C	A	D	A	B	C	B	E	B	E	C	B	D	C	C	X	B	C	D	X	C	A	A	E	D	A	D	C
13hi29299	1	C	C	D	B	C	B	D	D	B	B	E	B	C	A	D	X	E	C	B	E	B	D	B	B	B	X	X	X	B	C	X	B	C	A	X	D	X	A	X	D
13hi78515	1	D	C	D	C	E	B	D	D	B	B	E	A	C	A	D	B	B	C	E	E	B	D	B	B	C	C	C	A	B	C	D	B	C	C	D	E	D	A	E	C
13hi45383	1	D	A	D	B	B	A	D	D	E	B	E	A	C	A	D	A	E	C	B	E	B	D	C	A	C	C	C	C	C	C	X	B	C	C	A	E	D	C	B	C
13hi72646	1	D	C	D	C	C	A	D	D	E	B	E	A	C	A	D	A	D	C	B	E	B	D	B	X	B	C	C	E	E	C	A	E	C	A	X	D	A	A	E	E
13hi82766	1	E	C	D	B	B	A	D	D	B	B	E	D	C	A	D	A	D	C	B	E	D	E	B	B	E	C	C	E	C	C	D	C	D	C	D	A	D	X	D	C
13hi85162	1	C	D	D	B	E	B	C	D	B	C	E	A	C	A	D	A	X	C	B	A	E	D	B	C	C	C	C	B	C	C	D	B	C	C	A	C	A	D	E	C
13hi27790	1	D	C	D	B	D	E	D	D	E	B	E	A	X	A	A	E	A	C	E	E	E	D	B	E	D	E	B	E	D	A	B	B	X	A	X	B	X	C	C	X
13hi96865	1	X	C	D	C	C	A	D	D	E	B	E	A	C	A	D	A	E	C	B	E	B	E	B	D	C	C	C	X	X	C	X	B	X	A	A	E	B	A	X	C
13hi33376	1	D	D	D	B	B	B	D	E	B	B	E	A	C	A	D	A	D	A	B	E	B	E	B	B	C	C	C	X	B	D	X	B	C	A	A	D	D	A	E	D
13hi68733	1	D	C	D	B	E	B	D	D	B	C	E	A	C	A	D	B	B	C	E	E	B	D	B	B	C	C	C	E	C	B	D	B	C	A	D	D	D	A	E	C
13hi45079	1	D	C	D	B	E	B	D	D	B	C	E	A	C	A	D	B	D	E	B	E	B	C	B	B	C	C	C	E	C	C	D	B	C	A	D	E	D	A	E	D
13hi95604	1	D	D	D	B	C	A	D	D	A	C	E	A	C	A	D	X	E	C	B	E	B	D	C	X	C	X	C	X	B	X	X	B	C	C	A	E	D	A	D	X
13hi29899	1	D	C	D	B	X	B	D	E	B	B	E	A	C	A	D	B	D	C	B	A	B	E	B	C	B	C	C	X	B	B	D	D	X	A	A	E	D	A	X	X
13hi13264	1	D	C	B	B	B	A	D	D	E	B	E	A	C	A	D	X	X	C	B	E	B	E	C	D	C	C	B	X	B	C	X	X	X	C	X	E	C	A	E	C
13hi18813	1	D	A	B	B	B	B	D	D	B	B	E	A	C	A	B	B	B	A	B	E	B	E	B	C	E	C	C	E	C	D	X	C	C	A	X	E	B	X	X	C
13hi59200	1	D	C	D	B	C	B	D	E	X	B	E	A	C	A	X	X	X	C	E	E	B	A	X	D	X	C	D	X	B	X	X	B	E	X	X	X	D	A	D	X
13hi62428	1	D	C	D	B	X	B	D	D	B	B	E	A	C	A	D	A	E	C	B	E	B	E	X	E	A	C	C	B	B	C	D	B	C	A	A	E	X	A	D	D
13hi61490	1	D	C	D	B	C	A	D	D	E	B	E	A	B	A	D	A	X	C	B	E	B	D	B	C	C	X	C	E	C	C	X	B	C	C	X	A	B	A	E	C
13hi72167	1	C	A	B	C	X	B	D	D	B	B	E	A	C	A	D	A	X	C	B	X	B	E	C	E	B	E	E	X	C	B	E	C	X	X	X	E	D	X	X	X
