ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
30944	1	1	14	3	5	12	12	2	4	13	7	1	0	8	5	1	4	9	2	1	1	4
31043	1	0	8	13	1	3	7	10	1	4	4	4	0	3	3	6	1	2	1	3	0	0
30928	1	1	14	2	6	12	10	2	6	10	5	2	1	5	5	0	5	10	4	0	0	10
31755	1	0	4	7	11	2	3	5	10	1	1	3	4	0	2	2	6	3	1	2	1	1
31307	1	0	14	5	3	11	10	5	3	9	5	3	0	5	5	2	3	9	4	0	0	10
31182	1	0	10	3	9	8	7	2	9	7	3	2	3	3	4	0	6	8	3	1	0	7
30538	1	0	14	6	2	11	10	6	2	9	5	3	0	5	5	3	2	8	4	0	0	10
31497	1	0	11	5	6	8	9	3	6	9	4	2	2	4	5	1	4	9	2	2	0	3
31206	1	0	7	9	6	4	4	8	6	1	3	4	1	2	1	4	5	0	3	1	0	7
30863	1	0	11	5	6	8	8	4	6	7	5	3	0	5	3	1	6	5	3	1	0	7
31358	1	0	12	5	5	9	8	5	5	7	4	3	1	4	4	2	4	7	4	0	0	10
31637	1	0	5	7	10	2	3	6	9	1	2	3	3	1	1	3	6	0	2	1	1	4
30626	1	1	15	2	5	13	11	2	5	11	7	1	0	8	4	1	5	7	4	0	0	10
30534	1	0	13	4	5	11	9	4	5	9	8	0	0	10	1	4	5	0	4	0	0	10
30603	1	1	14	2	6	12	10	2	6	10	5	2	1	5	5	0	5	10	4	0	0	10
30688	1	0	13	5	4	10	9	5	4	8	6	2	0	7	3	3	4	4	4	0	0	10
30574	1	1	15	4	3	12	11	4	3	11	7	1	0	8	4	3	3	6	4	0	0	10
30512	1	1	12	3	7	10	11	2	5	11	8	0	0	10	3	2	5	5	1	1	2	2
30583	1	0	10	5	7	8	7	4	7	6	3	2	3	3	4	2	4	7	3	1	0	7
30572	1	0	11	6	5	8	8	6	4	7	5	3	0	5	3	3	4	4	3	0	1	8
30503	1	0	8	14	0	3	5	13	0	1	3	5	0	2	2	8	0	0	3	1	0	7
30597	1	0	11	5	6	8	7	5	6	6	3	4	1	2	4	1	5	7	4	0	0	10
30786	1	0	10	2	10	8	8	2	8	8	3	1	4	3	5	1	4	9	2	0	2	5
30809	1	0	8	10	4	4	6	8	4	4	4	3	1	4	2	5	3	1	2	2	0	3
30695	1	0	12	5	5	9	10	3	5	10	5	3	0	5	5	0	5	10	2	2	0	3
30803	1	1	17	2	3	15	13	2	3	14	7	1	0	8	6	1	3	11	4	0	0	10
30586	1	0	13	9	0	9	11	7	0	10	6	2	0	7	5	5	0	7	2	2	0	3
30576	1	0	5	8	9	2	3	7	8	1	3	3	2	3	0	4	6	0	2	1	1	4
30648	1	0	8	7	7	5	5	7	6	3	5	2	1	5	0	5	5	0	3	0	1	8
30650	1	0	8	7	7	5	5	6	7	3	3	2	3	3	2	4	4	1	3	1	0	7
30799	1	1	18	1	3	16	14	1	3	15	7	1	0	8	7	0	3	14	4	0	0	10
30654	1	0	10	8	4	7	6	8	4	4	4	3	1	4	2	5	3	1	4	0	0	10
30798	1	1	18	1	3	16	15	1	2	16	8	0	0	10	7	1	2	13	3	0	1	8
30558	1	1	15	3	4	13	12	2	4	13	7	1	0	8	5	1	4	9	3	1	0	7
30644	1	0	10	7	5	7	7	6	5	6	5	3	0	5	2	3	5	2	3	1	0	7
30617	1	0	2	19	1	0	0	17	1	0	0	7	1	0	0	10	0	0	2	2	0	3
30624	1	1	19	1	2	17	15	1	2	16	8	0	0	10	7	1	2	13	4	0	0	10
30525	1	0	9	7	6	6	6	6	6	4	4	3	1	4	2	3	5	2	3	1	0	7
30592	1	0	7	12	3	3	5	10	3	2	4	4	0	3	1	6	3	0	2	2	0	3
30520	1	0	7	10	5	3	6	7	5	4	3	4	1	2	3	3	4	4	1	3	0	0
30510	1	0	12	7	3	9	9	6	3	8	3	4	1	2	6	2	2	11	3	1	0	7
30781	1	0	5	12	5	1	2	11	5	0	1	6	1	0	1	5	4	0	3	1	0	7
30523	1	0	5	6	11	3	3	4	11	2	2	3	3	1	1	1	8	1	2	2	0	3
30486	1	0	9	7	6	6	8	4	6	7	5	0	3	6	3	4	3	3	1	3	0	0
31096	1	1	17	2	3	15	13	2	3	14	8	0	0	10	5	2	3	9	4	0	0	10
31009	1	1	14	0	8	13	11	0	7	12	8	0	0	10	3	0	7	6	3	0	1	8
30838	1	0	11	5	6	8	8	4	6	7	4	3	1	4	4	1	5	7	3	1	0	7
31000	1	0	7	12	3	3	6	10	2	3	1	6	1	0	5	4	1	7	1	2	1	1
31078	1	1	15	5	2	12	12	4	2	12	6	2	0	7	6	2	2	11	3	1	0	7
30891	1	1	16	2	4	14	12	2	4	13	6	1	1	7	6	1	3	11	4	0	0	10
31076	1	1	17	2	3	15	14	1	3	15	8	0	0	10	6	1	3	11	3	1	0	7
